"","cluster","cluster_col"
"LOC101853021","C4","#FB8072"
"LOC118478929","C4","#FB8072"
"LOC101863114","C4","#FB8072"
"LOC101854032","C4","#FB8072"
"LOC101863418","C4","#FB8072"
"LOC106012198","C4","#FB8072"
"LOC118478272","C4","#FB8072"
"LOC101854793","C4","#FB8072"
"LOC101852995","C4","#FB8072"
"LOC101851833","C4","#FB8072"
"LOC106011126","C4","#FB8072"
"LOC101861918","C4","#FB8072"
"LOC101858831","C4","#FB8072"
"LOC101859803","C4","#FB8072"
"LOC118478304","C4","#FB8072"
"LOC101847646","C4","#FB8072"
"LOC106012218","C4","#FB8072"
"LOC101857085","C4","#FB8072"
"LOC118477237","C4","#FB8072"
"LOC101857554","C4","#FB8072"
"LOC101847763","C4","#FB8072"
"LOC101848636","C4","#FB8072"
"LOC101861161","C4","#FB8072"
"LOC101853252","C4","#FB8072"
"LOC106011121","C4","#FB8072"
"LOC101862063","C4","#FB8072"
"LOC101848210","C4","#FB8072"
"LOC106012912","C4","#FB8072"
"LOC101846430","C4","#FB8072"
"LOC101861538","C4","#FB8072"
"TRNAT-UGU","C4","#FB8072"
"LOC118477262","C4","#FB8072"
"LOC101849664","C4","#FB8072"
"LOC101860106","C4","#FB8072"
"LOC101851496","C4","#FB8072"
"LOC101849244","C4","#FB8072"
"LOC101845339","C4","#FB8072"
"LOC101862819","C4","#FB8072"
"LOC106011539","C4","#FB8072"
"LOC106013267","C4","#FB8072"
"LOC101856766","C4","#FB8072"
"LOC118479039","C4","#FB8072"
"LOC101852784","C4","#FB8072"
"LOC101860171","C4","#FB8072"
"LOC101863873","C4","#FB8072"
"LOC101863417","C4","#FB8072"
"LOC106011501","C4","#FB8072"
"LOC101850683","C4","#FB8072"
"LOC101851250","C4","#FB8072"
"LOC101849982","C4","#FB8072"
"LOC101853076","C4","#FB8072"
"LOC101855443","C4","#FB8072"
"LOC101857477","C4","#FB8072"
"LOC101858043","C4","#FB8072"
"LOC101856916","C4","#FB8072"
"LOC101852345","C4","#FB8072"
"LOC101864562","C4","#FB8072"
"LOC101845609","C4","#FB8072"
"LOC101853606","C4","#FB8072"
"LOC101856831","C4","#FB8072"
"LOC101845874","C4","#FB8072"
"LOC101846122","C4","#FB8072"
"LOC106013541","C4","#FB8072"
"LOC106011332","C4","#FB8072"
"LOC101848945","C4","#FB8072"
"LOC101856601","C4","#FB8072"
"LOC106013466","C4","#FB8072"
"LOC101861514","C4","#FB8072"
"LOC101848094","C4","#FB8072"
"LOC101862655","C4","#FB8072"
"LOC101848515","C4","#FB8072"
"LOC118477331","C4","#FB8072"
"LOC101856354","C4","#FB8072"
"LOC101856105","C4","#FB8072"
"LOC101858530","C4","#FB8072"
"LOC101854362","C4","#FB8072"
"LOC106010988","C4","#FB8072"
"LOC106013354","C4","#FB8072"
"LOC101854489","C4","#FB8072"
"LOC101856565","C4","#FB8072"
"LOC101851534","C4","#FB8072"
"LOC101855908","C4","#FB8072"
"LOC101858865","C4","#FB8072"
"LOC101855719","C4","#FB8072"
"LOC101852427","C4","#FB8072"
"LOC101859527","C4","#FB8072"
"LOC101862127","C4","#FB8072"
"LOC101851535","C4","#FB8072"
"LOC101846310","C4","#FB8072"
"LOC101863747","C4","#FB8072"
"LOC101859599","C4","#FB8072"
"LOC101848005","C4","#FB8072"
"LOC101858737","C4","#FB8072"
"LOC106013120","C4","#FB8072"
"LOC106012650","C4","#FB8072"
"LOC100533346","C4","#FB8072"
"LOC101846124","C4","#FB8072"
"LOC101862766","C4","#FB8072"
