"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AC163A","AC164A","AC172A","AC190A","AC191A","AC192A","AC278A","AC282A","AC286A","AC304A","AC308A","AC312A","AC169A","AC170A","AC174A","AC202A","AC203A","AC204A","AC279A","AC283A","AC290A","AC305A","AC309A","AC313A"
"1496","LOC101860933",18.0437835880149,-1.15129405821685,0.391695810770955,-2.93925547978372,0.00329001757535116,0.0425141633051032,23.5017005799117,35.3879090503388,16.6885998473103,4.3954606898182,6.74651371147251,5.87768000142859,15.768241018837,24.995926978373,2.02441477948593,8.13837718397337,11.7452603985165,39.054315745347,24.3986253035206,21.4163688056758,10.4072730916887,7.5154583594006,12.7524341834516,6.78566716478625,22.4242365818569,23.1874797839924,2.45915913076173,55.7220467072211,37.8405060335208,13.8171509816677
"1497","LOC106012273",3.27150506426421,-5.18648762864071,1.76457183748476,-2.93923291671342,0.00329025711051068,0.0425141633051032,20.4362613738363,5.20410427210865,7.30126243319823,0,0,0,0,0,0,0,0,0,16.591065206394,19.3767146337067,9.60671362309725,0,0,0,0,0,0,0,0,0
"1498","LOC106013040",4.64794711455335,-1.25036284068079,0.425368839774094,-2.93947916200171,0.00328764376854307,0.0425141633051032,14.3053829616854,7.2857459809521,4.17214996182756,0.87909213796364,2.8913630192025,1.95922666714286,1.5768241018837,5.768290841163,0,5.08648573998335,1.95754339975274,7.438917284828,12.6872851578307,3.05948125795369,7.20503521732294,1.67010185764458,3.6435526238433,2.90814307062268,1.94993361581365,2.01630258991238,8.60705695766606,5.39245613295688,5.40578657621726,3.68457359511139
"1504","LOC101851956",19.9268676712546,-1.12255748062265,0.382418490841235,-2.9354163240205,0.00333100437272911,0.0428404788295978,10.2181306869181,23.9388796516998,13.5594873759396,6.15364496574548,5.78272603840501,3.91845333428572,11.0377687131859,29.8028360126755,6.0732443384578,38.6572916238735,19.5754339975275,51.1425563331925,36.1099654492105,27.5353313215832,36.8257355552061,6.68040743057831,7.28710524768661,3.87752409416357,43.873506355807,13.1059668344305,13.5253752191895,37.7471929306981,18.9202530167604,12.8960075828899
"1506","LOC106012130",2.92070361897254,-1.65966671813058,0.565439915305898,-2.93517785569261,0.00333356553371789,0.0428449498477048,1.02181306869181,4.16328341768692,3.12911247137067,0.87909213796364,0.963787673067501,0,6.30729640753481,1.922763613721,0,2.03459429599334,3.91508679950549,6.5090526242245,6.83161508498578,3.05948125795369,3.20223787436575,0,4.55444077980413,0,0,1.00815129495619,2.45915913076173,1.79748537765229,10.8115731524345,5.52686039266708
"1508","LOC101861761",26.9143681357784,-1.04855361470603,0.357415551877444,-2.93371010074451,0.0033493688192903,0.0429909700704131,29.6325789920626,21.8572379428563,14.6025248663965,6.15364496574548,10.6016644037425,7.83690666857145,28.3828338339066,36.532508660699,2.69921970598124,29.5016172919035,32.2994660959203,63.230796921038,28.3024053520839,29.5749854935523,32.822938212249,8.35050928822289,19.1286512751773,13.5713343295725,47.7733735874343,23.1874797839924,7.37747739228519,62.9119882178302,50.0035258300096,39.6091661474474
"1509","LOC106011939",25.5965700127984,-1.06384585624455,0.362706182374459,-2.93307891605287,0.00335618572471675,0.0430499210653529,31.6762051294462,30.1838047782301,17.7316373377671,5.27455282778184,7.71030138454001,7.83690666857145,17.3450651207207,69.2194900939559,10.1220738974297,34.5881030318868,40.1296396949313,66.950255563452,31.2302403885064,29.5749854935523,24.8173435263346,10.8556620746898,7.28710524768661,6.78566716478625,29.2490042372047,21.17117719408,6.14789782690433,33.2534794865674,36.4890593894665,38.6880227486696
"1514","LOC101852573",6.78481087051024,-1.58213107306575,0.540310546562216,-2.92818839671414,0.00340943388082246,0.0435343053252169,5.10906534345907,5.20410427210865,4.17214996182756,0,0.963787673067501,0.979613333571431,6.30729640753481,8.65243626174449,1.34960985299062,10.1729714799667,6.85140189913461,12.0882405878455,3.9037800485633,5.09913542992282,1.60111893718288,0.835050928822289,0.910888155960826,0.969381023540893,9.74966807906823,8.06521035964953,2.45915913076173,21.5698245318275,31.0832728132492,14.7382943804456
"1516","LOC101861078",21.0678828841208,-2.16684896140523,0.740052592823716,-2.92796617756244,0.00341187157949669,0.0435343053252169,18.3926352364526,32.2654464870736,8.34429992365513,0.87909213796364,0.963787673067501,0,9.46094461130221,27.8800723989545,0,30.5189144399001,19.5754339975275,131.110917145094,30.2542953763656,20.3965417196913,7.20503521732294,0.835050928822289,0,0.969381023540893,38.0237055083661,12.0978155394743,1.22957956538087,63.8107309066564,48.6520791859553,2.76343019633354
"1519","LOC106011569",16.2533147302505,-1.22597768795468,0.418813815046581,-2.92726181398367,0.00341960879307287,0.043584608780868,19.4144483051445,17.6939545251694,13.5594873759396,6.15364496574548,4.8189383653375,8.81652000214288,3.1536482037674,25.9573087852335,6.74804926495311,8.13837718397337,7.83017359901098,77.1787668300905,13.6632301699716,6.11896251590738,8.00559468591438,9.18556021704518,6.37621709172578,6.78566716478625,19.4993361581365,14.1141181293867,4.91831826152346,46.7346198189596,22.9745929489233,32.2400189572246
