contrast	gene
Hyp_T2h.Control	LOC101857310
Hyp_T2h.Control	LOC101856779
Hyp_T2h.Control	LOC101859379
Hyp_T2h.Control	LOC101847632
Hyp_T2h.Control	LOC101848094
Hyp_T2h.Control	His.H4
Hyp_T2h.Control	LOC101848566
Hyp_T2h.Control	LOC101849748
Hyp_T2h.Control	LOC101850133
Hyp_T2h.Control	LOC101850389
Hyp_T2h.Control	LOC101853437
Hyp_T2h.Control	LOC101853674
Hyp_T2h.Control	LOC101858000
Hyp_T2h.Control	LOC101858466
Hyp_T2h.Control	LOC101858686
Hyp_T2h.Control	LOC101854922
Hyp_T2h.Control	LOC101855544
Hyp_T2h.Control	LOC118479039
Hyp_T2h.Control	LOC101856314
Hyp_T2h.Control	LOC101855998
Hyp_T2h.Control	LOC101856710
Hyp_T2h.Control	LOC101857166
Hyp_T2h.Control	LOC101860071
Hyp_T2h.Control	LOC101860307
Hyp_T2h.Control	LOC101861181
Hyp_T2h.Control	LOC106013931
Hyp_T2h.Control	LOC101850303
Hyp_T2h.Control	LOC101863645
Hyp_T2h.Control	LOC106013958
Hyp_T2h.Control	LOC100533408
Hyp_T2h.Control	LOC101864361
Hyp_T2h.Control	LOC101851702
Hyp_T2h.Control	LOC101851915
Hyp_T2h.Control	LOC101844973
Hyp_T2h.Control	LOC118479122
Hyp_T2h.Control	LOC101852820
Hyp_T2h.Control	LOC106014022
Hyp_T2h.Control	LOC101854471
Hyp_T2h.Control	LOC101848018
Hyp_T2h.Control	LOC101854924
Hyp_T2h.Control	LOC100533323
Hyp_T2h.Control	LOC101863239
Hyp_T2h.Control	LOC101855620
Hyp_T2h.Control	LOC101857002
Hyp_T2h.Control	LOC101864199
Hyp_T2h.Control	LOC101845149
Hyp_T2h.Control	LOC101858991
Hyp_T2h.Control	LOC101846266
Hyp_T2h.Control	LOC101860228
Hyp_T2h.Control	LOC118479156
Hyp_T2h.Control	LOC101846943
Hyp_T2h.Control	LOC101862164
Hyp_T2h.Control	LOC101862322
Hyp_T2h.Control	LOC101849272
Hyp_T2h.Control	LOC118479159
Hyp_T2h.Control	LOC101850134
Hyp_T2h.Control	LOC101850776
Hyp_T2h.Control	LOC101853600
Hyp_T2h.Control	LOC101859761
Hyp_T2h.Control	LOC101859997
Hyp_T2h.Control	LOC101860949
Hyp_T2h.Control	LOC101856713
Hyp_T2h.Control	LOC101862093
Hyp_T2h.Control	LOC101857701
Hyp_T2h.Control	LOC101857926
Hyp_T2h.Control	LOC101862998
Hyp_T2h.Control	LOC106014181
Hyp_T2h.Control	LOC106014185
Hyp_T2h.Control	LOC101845525
Hyp_T2h.Control	LOC118479167
Hyp_T2h.Control	LOC101846190
Hyp_T2h.Control	LOC101851704
Hyp_T2h.Control	LOC101851918
Hyp_T2h.Control	LOC101848264
Hyp_T2h.Control	LOC101852148
Hyp_T2h.Control	LOC101852823
Hyp_T2h.Control	LOC101848720
Hyp_T2h.Control	LOC106014186
Hyp_T2h.Control	LOC101854231
Hyp_T2h.Control	TRNAR-CCU
Hyp_T2h.Control	LOC101855621
